Season,Sector,Category,Crop,QueryType,QueryText,KCCAns,StateName,DistrictName,BlockName,CreatedOn
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,11:21.2
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME CONTECT NUMBER OF ANIMAL HUSBANDRY ?,CONTECT NUMBER OF ANIMAL HUSBANDRY-1800 180 6224,DELHI,EAST,DELHI,26:59.5
KHARIF,HORTICULTURE,Fruits,Citrus,Fertilizer Use and Availability,TELL ME CONTROL OF FLOWER DROPING,SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER,DELHI,EAST,DELHI,46:54.1
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME WEATHER INFORMATION ?,RAIN POSSIBILITY IN NEXT 3-4 DAYS IN YOUR DISTRICT,DELHI,EAST,DELHI,32:43.9
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME RAIN FALL INFORMATION.,RAIN POSSIBILITY IN NEXT 3-4 DAYS AND CLOUDY SKY,DELHI,EAST,DELHI,59:19.9
KHARIF,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,"	Plant Protection	",TELL ME CONTROL PHYLLODY IN TIL CROP.,SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER IN TIL CROP.,DELHI,EAST,DELHI,24:48.8
KHARIF,AGRICULTURE,Others,Others,Government Schemes,TELL ME SUBSIDY IN GREEN HOUSE,50% SUBSIDY IN GREEN HOUSE,DELHI,EAST,DELHI,25:53.6
KHARIF,HORTICULTURE,Vegetables,Bitter Gourd,"	Plant Protection	",TELL ME APHID CONTROL IN BITTER GOURD,SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER,DELHI,EAST,DELHI,27:53.4
KHARIF,HORTICULTURE,Vegetables,Bottle Gourd ,"	Plant Protection	",plz tell me control of caterpillar and aphids,SPRAY OF FIPRONIL 5% SC 1.5 ML PER LITER WATER,DELHI,EAST,DELHI,21:07.7
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME WEATHER INFORMATION,RAIN POSSIBILITY IN NEXT 3-4 DAYS IN YOUR DISTRICT,DELHI,EAST,DELHI,32:07.6
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME ABOUT WEATHER INFORMATION ?,"LIGHT RAIN POSSIBILITY IN NEXT 3-4 DAYS , CLOUDY SKY",DELHI,EAST,DELHI,38:01.4
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME WEATHER INFORMATION,RAIN POSSIBILITY IN NEXT 3-4 DAYS IN YOUR DISTRICT,DELHI,EAST,DELHI,42:37.5
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME ABOUT WEATHER INFORMATION ?,"LIGHT RAIN POSSIBILITY IN NEXT 3-4 DAYS , CLOUDY SKY",DELHI,EAST,DELHI,56:18.3
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME WEATHER INFORMATION,RAIN POSSIBILITY IN NEXT 3-4 DAYS IN YOUR DISTRICT,DELHI,EAST,DELHI,05:58.4
KHARIF,AGRICULTURE,Others,Others,Seeds,PLZ TELL ME CONTECT NUMBER OF PUSA DELHI,CONTECT NUMBER OF PUSA DELHI -011-25841670 1800118989,DELHI,EAST,DELHI,12:56.2
KHARIF,AGRICULTURE,Others,Others,Seeds,PLZ TELL ME CONTECT NUMBER OF PUSA DELHI,CONTECT NUMBER OF PUSA DELHI -011-25841670 .1800118989,DELHI,EAST,DELHI,22:32.7
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME ABOUT WEATHER INFORMATION ?,"LIGHT RAIN POSSIBILITY IN NEXT 3-4 DAYS , CLOUDY SKY",DELHI,EAST,DELHI,59:09.6
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",TELL ME WHITE FLY CONTROL IN BRINJAL ?,SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER,DELHI,EAST,DELHI,17:34.7
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,45:58.1
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME ABOUT WEATHER INFORMATION ?,RAIN RAINFALL POSSIBILITY IN 5 DAYS IN YOUR DISTRICT,DELHI,EAST,DELHI,22:03.9
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME ABOUT WEATHER INFORMATION ?,RAIN RAINFALL POSSIBILITY IN 5 DAYS IN YOUR DISTRICT,DELHI,EAST,DELHI,38:02.4
KHARIF,AGRICULTURE,Others,Others,Weather,PLZ TELL ME WEATHER ERPORT OF DELHI,RAIN POSSIBILITY IN NEXT 2 DAYS,DELHI,EAST,DELHI,50:30.3
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME ABOUT WEATHER INFORMATION ?,RAIN RAINFALL POSSIBILITY IN 5 DAYS IN YOUR DISTRICT,DELHI,EAST,DELHI,55:11.2
KHARIF,HORTICULTURE,Flowers,Rose,Weather,TELL ME ABOUT WEATHER INFORMATION ?,RAIN POSSIBILITY IN NEXT 3-4 DAYS AND CLOUDY SKY,DELHI,EAST,DELHI,24:27.8
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",TELL ME APHID CONTROL IN PADDY,SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER,DELHI,EAST,DELHI,02:27.2
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),"	Plant Protection	",TELL ME PERA WILT DISEASE CONTROL IN COTTON,COBALT CLORIDE 1 GRAM/100 LITTER WATTER SPRAY,DELHI,EAST,DELHI,12:23.6
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",tell me insect in dhan,SPRAY OF CARTAP HYDROCHLORIDE 50% SP 1 ML PER LITER WATER,DELHI,EAST,DELHI,07:52.4
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME ABOUT WEATHER INFORMATION ?,LIGHT RAIN MAY BE AFTER 2-3 DAYS,DELHI,EAST,DELHI,27:30.3
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",TELL ME FUNGAL DISEASE IN DHAN,SPRAY  OF PROPICONAZOLE 1 ML PER LITER WATER,DELHI,EAST,DELHI,34:05.9
KHARIF,AGRICULTURE,Cereals,Oats ,Varieties,TELL ME ABOUT VARIETY OF OATS,"VARIETY OF OAT  - KANT, UPO-94",DELHI,EAST,DELHI,44:11.5
KHARIF,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),"	Plant Protection	",TELL ME PEST CONTROL IN MOONG,ACEFATE 75 % 2 GRAM/LITER SPRAY,DELHI,EAST,DELHI,18:59.7
KHARIF,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Nutrient Management,TELL ME CONTROL OF FLOWER DROPPING,SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER,DELHI,EAST,DELHI,23:44.6
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,46:01.7
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",TELL ME CONTROL OF BACTERIAL BLIGHT DISEASE IN PADDY,SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER,DELHI,EAST,DELHI,59:54.5
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME ABOUT WEATHER INFORMATION ?,LIGHT RAIN MAY BE NEXT 2-3 DAYS,DELHI,EAST,DELHI,28:44.3
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME ABOUT WEATHER INFORMATION ?,RAIN POSSIBILITY IN NEXT 2-3  DAYS AND CLOUDY SKY,DELHI,EAST,DELHI,04:12.0
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME ABOUT WEATHER INFORMATION ?,LIGHT RAIN MAY BE NEXT 2-3 DAYS,DELHI,EAST,DELHI,11:57.2
KHARIF,HORTICULTURE,Vegetables,Cauliflower,"	Plant Protection	",TELL ME PEST CONTROL IN CAULIFLOWER,SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER,DELHI,EAST,DELHI,56:54.6
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME ABOUT WEATHER INFORMATION ?,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,DELHI,EAST,DELHI,23:22.1
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME ABOUT WEATHER INFORMATION ?,TOMOROW MAY BE LIGHT RAIN,DELHI,EAST,DELHI,25:17.9
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME ABOUT WEATHER INFORMATION ?,LIGHT RAIN POSSIBILITY UPTO NEXT 2-3 DAYS AND CLOUDLY SKY,DELHI,EAST,DELHI,49:34.9
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,20:26.7
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,TELL ME ABOUT WEATHER INFORMATION ?,TOMOROW MAY BE LIGHT RAIN,DELHI,EAST,DELHI,27:43.0
KHARIF,HORTICULTURE,Medicinal and Aromatic Plants,Aloe Vera,Field Preparation,TELL ME ALOE VERA CULTIVATION ?,SOWING TIME OF ALOE  VERA  JUNE - JULY MONTHS,DELHI,EAST,DELHI,31:48.3
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME ABOUT WEATHER INFORMATION ?,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,DELHI,EAST,DELHI,15:57.4
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,TELL ME SUBSIDY IN DAIRY FARMING,25-33 % SUBSIDY IN DAIRY FARMING,DELHI,EAST,DELHI,24:32.0
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,TELL ME ABOUT WEATHER INFORMATION ?,TOMOROW MAY BE LIGHT RAIN,DELHI,EAST,DELHI,57:36.1
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,15:08.8
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,28:02.2
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,TELL ME SUBSIDY IN DAIRY FARMING,25-33%  SUBSIDY IN DAIRY FARMING,DELHI,EAST,DELHI,39:36.6
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,52:37.8
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Credit,I WANT TO LOAN ON DAIRY.,CONTECT IN NEAREST BANK.,DELHI,EAST,DELHI,17:23.0
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME ABOUT WEATHER INFORMATION ?,LIGHT RAIN POSSIBILITY UPTO NEXT 2-3 DAYS AND CLOUDLY SKY,DELHI,EAST,DELHI,51:34.1
KHARIF,HORTICULTURE,Vegetables,Bitter Gourd,"	Plant Protection	",TELL ME CONTROL SUKING PEST IN KARELA.,SPRAY OF DIMETHOATE  30% EC 1 ML PER LITER WATER,DELHI,EAST,DELHI,32:24.1
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",TELL ME CONTROL FRUIT BORER IN BRINJAL.,SPRAY OF IMAMECTIN BENZOATE 1 GM PER 3 LITER WATER,DELHI,EAST,DELHI,41:56.1
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weather,TELL ME ABOUT WEATHER INFORMATION ?,LIGHT RAIN POSSIBILITY UPTO NEXT 2-3 DAYS AND CLOUDLY SKY,DELHI,EAST,DELHI,17:37.1
KHARIF,AGRICULTURE,Others,Others,Weather,TELL ME RAIN FALL INFORMATION.,RAIN FALL MAY BE 6 OR 7 SEPTEMBER.,DELHI,EAST,DELHI,19:47.9
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,TELL ME DAIRY LOAN,CONTECT IN NEAREST BANK,DELHI,EAST,DELHI,58:59.7
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",TELL ME SUKING PEST IN BRINJAL.,SPRAY OF IMIDACHLOPRID 17.8% SL 1 ML 3 LITER WATER,DELHI,EAST,DELHI,08:17.3
KHARIF,HORTICULTURE,Vegetables,Bottle Gourd ,"	Plant Protection	",TELL ME APHID CONTROL IN BOTTLE GOURD,DAIMITHIYOT 30EC 2 ML /LITER + MENCOZEB 2 GRAM/LITER SPRAY,DELHI,EAST,DELHI,24:39.8
KHARIF,HORTICULTURE,Vegetables,Spinach (Palak),"	Plant Protection	",TELL ME FUNGUS CONTROL IN SPINACH,DRENCHING OF CARBENDAZIM 2 GM PER LITER,DELHI,EAST,DELHI,29:24.0
KHARIF,HORTICULTURE,Fruits,Guava,"	Plant Protection	",TELL ME PEST CONTROL IN GUAVA,SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER,DELHI,EAST,DELHI,50:28.5
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),"	Plant Protection	",TELL ME BOLLWORM IN COTTON CROP.,SPRAY OF IMAMECTIN BENZOATE 1 GM PER 3 LITER WATER,DELHI,EAST,DELHI,29:46.8
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,TELL ME DAIRY FARMING LOAN,CONTECT IN NEAREST BANK,DELHI,EAST,DELHI,26:04.9
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,06:39.1
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,49:12.4
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,INFORMATION ABOUT The Dairy Entrepreneur Development Scheme (DEDS,"The Dairy Entrepreneur Development Scheme (DEDS) by NABARD (National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,12:23.0
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)",TELL ME CONTECT NUMBER OF ANIMAL HUSBANDRY ?,CONTECT NUMBER OF ANIMAL HUSBANDRY-1800 180 1199,DELHI,EAST,DELHI,20:04.1
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,information about The Dairy Entrepreneur Development Scheme (DEDS,"The Dairy Entrepreneur Development Scheme (DEDS) by NABARD (National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,32:12.0
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,37:42.3
KHARIF,AGRICULTURE,Others,Others,Government Schemes,information about The Dairy Entrepreneur Development Scheme (DEDS,"The Dairy Entrepreneur Development Scheme (DEDS) by NABARD (National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,42:52.4
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Animal Breeding,TELL ME CONTECT NUMBER OF ANIMAL HUSBANDRY ?,CONTECT NUMBER OF ANIMAL HUSBANDRY-1800 180 1199,DELHI,EAST,DELHI,48:05.2
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,information about The Dairy Entrepreneur Development Scheme (DEDS,"The Dairy Entrepreneur Development Scheme (DEDS) by NABARD (National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6",DELHI,EAST,DELHI,55:32.3
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,information about The Dairy Entrepreneur Development Scheme (DEDS,"The Dairy Entrepreneur Development Scheme (DEDS) by NABARD (National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,14:13.4
KHARIF,HORTICULTURE,Fruits,Papaya,"	Plant Protection	",TELL ME INSECT IN PAPAYA,SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER,DELHI,EAST,DELHI,18:32.8
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Credit,information about The Dairy Entrepreneur Development Scheme (DEDS,"provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,33:19.2
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Animal Nutrition,TELL ME CONTECT NUMBER OF ANIMAL HUSBANDRY ?,CONTECT NUMBER OF ANIMAL HUSBANDRY-1800 180 1199,DELHI,EAST,DELHI,43:37.2
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),"	Plant Protection	",TELL ME INSECT IN COTTON,SPRAY OF PROFENOFOS + CYPERMETHRIN 1.5 ML PER LITER WATER,DELHI,EAST,DELHI,54:18.5
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,information about The Dairy Entrepreneur Development Scheme (DEDS,"The Dairy Entrepreneur Development Scheme (DEDS) by NABARD (National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,04:32.5
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,information about The Dairy Entrepreneur Development Scheme (DEDS,"The Dairy Entrepreneur Development Scheme (DEDS) by NABARD (National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,13:08.0
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,information about The Dairy Entrepreneur Development Scheme (DEDS,"The Dairy Entrepreneur Development Scheme (DEDS) by NABARD (National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,30:42.9
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Animal Nutrition,TELL ME CONTECT NUMBER OF ANIMAL HUSBANDRY ?,CONTECT NUMBER OF ANIMAL HUSBANDRY-1800 180 1199,DELHI,EAST,DELHI,37:54.1
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,information about The Dairy Entrepreneur Development Scheme (DEDS,"(National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be",DELHI,EAST,DELHI,49:52.4
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Livestock Products Processing and Packaging,information about The Dairy Entrepreneur Development Scheme (DEDS,"The Dairy Entrepreneur Development Scheme (DEDS) by NABARD (National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,14:20.4
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Asked for SMS activation ?,SMS activation Process Is Successfully Completed on your number,DELHI,EAST,DELHI,20:49.9
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,The Dairy Entrepreneur Development Scheme (DEDS) by NABARD,"The Dairy Entrepreneur Development Scheme (DEDS) by NABARD (National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,30:20.8
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,The Dairy Entrepreneur Development Scheme (DEDS),"The Dairy Entrepreneur Development Scheme (DEDS) by NABARD (National Bank for Agriculture and Rural Development)-both male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,04:35.9
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Artificial Insemination,TELL ME ABOUT ANIMAL LOAN ?,PLEASE CONTACT TO NEAREST BANK IN YOUR DISTRICT,DELHI,EAST,DELHI,37:27.9
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Animal Nutrition,TELL ME ABOUT ANIMAL LOAN ?,PLEASE CONTACT TO NEAREST BANK IN YOUR DISTRICT,DELHI,EAST,DELHI,51:30.7
KHARIF,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Credit,information about The Dairy Entrepreneur Development Scheme (DEDS,"male and female from OC and BC social sections will be provided subsidy to the tune of 25 per cent whereas for those from SC and ST social sections, the subsidy will be extended up to 33 per cent on bank loan amount.As per the guidelines, a maximum of Rs 6 lakh",DELHI,EAST,DELHI,53:36.0
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,10:34.1
KHARIF,AGRICULTURE,Others,Others,Training and Exposure Visits,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,DELHI,EAST,DELHI,14:03.5
